time_s,Potential_V,Current_A,Cycle
0.00000,-0.200000,3.160000000000e-06,1
0.02004,-0.197996,3.279400578858e-06,1
0.04008,-0.195992,3.130136670963e-06,1
0.06012,-0.193988,3.050104642930e-06,1
0.08016,-0.191984,3.220896808549e-06,1
0.10020,-0.189980,3.257822461531e-06,1
0.12024,-0.187976,3.078419847108e-06,1
0.14028,-0.185972,3.088629157754e-06,1
0.16032,-0.183968,3.266305830608e-06,1
0.18036,-0.181964,3.211216083205e-06,1
0.20040,-0.179960,3.048640317007e-06,1
0.22044,-0.177956,3.146528934538e-06,1
0.24048,-0.175952,3.284784767256e-06,1
0.26052,-0.173948,3.152174029391e-06,1
0.28056,-0.171944,3.048995408956e-06,1
0.30060,-0.169940,3.209099026531e-06,1
0.32064,-0.167936,3.271925593049e-06,1
0.34068,-0.165932,3.096537146458e-06,1
0.36072,-0.163928,3.079811136718e-06,1
0.38076,-0.161924,3.260414577209e-06,1
0.40080,-0.159920,3.231505954399e-06,1
0.42084,-0.157916,3.059256833047e-06,1
0.44088,-0.155912,3.133457043091e-06,1
0.46092,-0.153908,3.287490472729e-06,1
0.48096,-0.151904,3.174502429359e-06,1
0.50100,-0.149900,3.050489659706e-06,1
0.52104,-0.147896,3.196339313626e-06,1
0.54108,-0.145892,3.283673118840e-06,1
0.56112,-0.143888,3.116223390351e-06,1
0.58116,-0.141884,3.072944421677e-06,1
0.60120,-0.139880,3.252451549197e-06,1
0.62124,-0.137876,3.250378393102e-06,1
0.64128,-0.135872,3.072310380445e-06,1
0.66132,-0.133868,3.121174587989e-06,1
0.68136,-0.131864,3.287555717791e-06,1
0.70140,-0.129860,3.196721810554e-06,1
0.72144,-0.127856,3.054652463804e-06,1
0.74148,-0.125852,3.183000962681e-06,1
0.76152,-0.123848,3.292901199935e-06,1
0.78156,-0.121844,3.137137505440e-06,1
0.80160,-0.119840,3.068280742446e-06,1
0.82164,-0.117836,3.242692951920e-06,1
0.84168,-0.115832,3.267510494423e-06,1
0.86172,-0.113828,3.087607962888e-06,1
0.88176,-0.111824,3.110054207147e-06,1
0.90180,-0.109820,3.285077474068e-06,1
0.92184,-0.107816,3.218434546542e-06,1
0.94188,-0.105812,3.061489313578e-06,1
0.96192,-0.103808,3.169480184817e-06,1
0.98196,-0.101804,3.299502244761e-06,1
1.00200,-0.099800,3.158911005766e-06,1
1.02204,-0.097796,3.066022645371e-06,1
1.04208,-0.095792,3.231455077373e-06,1
1.06212,-0.093788,3.282618207052e-06,1
1.08216,-0.091784,3.104906485276e-06,1
1.10220,-0.089780,3.100442594808e-06,1
1.12224,-0.087776,3.280209497371e-06,1
1.14228,-0.085772,3.239254321901e-06,1
1.16232,-0.083768,3.070946002449e-06,1
1.18236,-0.081764,3.156177263896e-06,1
1.20240,-0.079760,3.303427311155e-06,1
1.22244,-0.077756,3.181156219326e-06,1
1.24248,-0.075752,3.066318971420e-06,1
1.26252,-0.073747,3.219087242881e-06,1
1.28256,-0.071743,3.295462674792e-06,1
1.30260,-0.069739,3.123918180895e-06,1
1.32264,-0.067735,3.092652761481e-06,1
1.34268,-0.065731,3.273158895051e-06,1
1.36272,-0.063727,3.258814756837e-06,1
1.38276,-0.061723,3.082909835102e-06,1
1.40280,-0.059719,3.143487620052e-06,1
1.42284,-0.057715,3.304687199018e-06,1
1.44288,-0.055711,3.203474942969e-06,1
1.46292,-0.053707,3.069261533263e-06,1
1.48296,-0.051703,3.205963992481e-06,1
1.50300,-0.049699,3.305855569099e-06,1
1.52304,-0.047695,3.144317035900e-06,1
1.54308,-0.045691,3.086957045887e-06,1
1.56312,-0.043687,3.264181502264e-06,1
1.58316,-0.041683,3.276777586726e-06,1
1.60320,-0.039679,3.097212143450e-06,1
1.62324,-0.037675,3.131792981818e-06,1
1.64328,-0.035671,3.303352209197e-06,1
1.66332,-0.033667,3.225467332408e-06,1
1.68336,-0.031663,3.074883065521e-06,1
1.70340,-0.029659,3.192476735108e-06,1
1.72344,-0.027655,3.313663293580e-06,1
1.74348,-0.025651,3.165746067677e-06,1
1.76352,-0.023647,3.083581034909e-06,1
1.78356,-0.021643,3.253576170370e-06,1
1.80360,-0.019639,3.292840213982e-06,1
1.82364,-0.017635,3.113632052200e-06,1
1.84368,-0.015631,3.121452863911e-06,1
1.86372,-0.013627,3.299550573999e-06,1
1.88376,-0.011623,3.246740828871e-06,1
1.90380,-0.009619,3.083156493959e-06,1
1.92384,-0.007615,3.179025006266e-06,1
1.94388,-0.005611,3.318809966570e-06,1
1.96392,-0.003607,3.187825294588e-06,1
1.98396,-0.001603,3.082698527295e-06,1
2.00400,0.000401,3.241678094980e-06,1
2.02404,0.002405,3.306742463637e-06,1
2.04408,0.004409,3.131901409965e-06,1
2.06412,0.006413,3.112796540959e-06,1
2.08416,0.008417,3.293465594369e-06,1
2.10420,0.010421,3.266918923098e-06,1
2.12424,0.012425,3.093995539925e-06,1
2.14428,0.014429,3.166007548276e-06,1
2.16432,0.016433,3.321279115216e-06,1
2.18436,0.018437,3.210160219190e-06,1
2.20440,0.020441,3.084427653546e-06,1
2.22444,0.022445,3.228851332612e-06,1
2.24448,0.024449,3.318272391835e-06,1
2.26452,0.026453,3.151710775825e-06,1
2.28456,0.028457,3.106115696336e-06,1
2.30460,0.030461,3.285331547631e-06,1
2.32464,0.032465,3.285649561027e-06,1
2.34468,0.034469,3.107256646549e-06,1
2.36472,0.036473,3.153813408224e-06,1
2.38476,0.038477,3.321114043242e-06,1
2.40480,0.040481,3.232350635507e-06,1
2.42484,0.042485,3.088828238621e-06,1
2.44488,0.044489,3.215480673020e-06,1
2.46492,0.046493,3.327271017555e-06,1
2.48496,0.048497,3.172716327712e-06,1
2.50500,0.050501,3.101657910262e-06,1
2.52504,0.052505,3.275428457210e-06,1
2.54508,0.054509,3.302613003557e-06,1
2.56512,0.056513,3.122742183752e-06,1
2.58516,0.058517,3.142813252443e-06,1
2.60520,0.060521,3.318416864279e-06,1
2.62524,0.062525,3.253999563903e-06,1
2.64528,0.064529,3.095900466519e-06,1
2.66532,0.066533,3.201963048906e-06,1
2.68536,0.068537,3.333635872268e-06,1
2.70540,0.070541,3.194547538834e-06,1
2.72544,0.072545,3.099621133165e-06,1
2.74548,0.074549,3.264075841920e-06,1
2.76552,0.076553,3.317528966046e-06,1
2.78556,0.078557,3.140204862055e-06,1
2.80560,0.080561,3.133351093505e-06,1
2.82564,0.082565,3.313346225161e-06,1
2.84568,0.084569,3.274722117815e-06,1
2.86572,0.086573,3.105584881583e-06,1
2.88576,0.088577,3.188698681510e-06,1
2.90580,0.090581,3.337323297241e-06,1
2.92584,0.092585,3.216815462660e-06,1
2.94588,0.094589,3.100149283458e-06,1
2.96592,0.096593,3.251625605262e-06,1
2.98596,0.098597,3.330162905728e-06,1
3.00600,0.100601,3.159353292976e-06,1
3.02604,0.102605,3.125736662180e-06,1
3.04608,0.104609,3.306113832656e-06,1
3.06612,0.106613,3.294154186455e-06,1
3.08616,0.108617,3.117763833703e-06,1
3.10620,0.110621,3.176082299521e-06,1
3.12624,0.112625,3.338349619003e-06,1
3.14628,0.114629,3.239121677517e-06,1
3.16632,0.116633,3.103329373723e-06,1
3.18636,0.118637,3.238454618576e-06,1
3.20640,0.120641,3.340331826213e-06,1
3.22644,0.122645,3.179859227521e-06,1
3.24648,0.124649,3.120239436502e-06,1
3.26652,0.126653,3.296980939663e-06,1
3.28656,0.128657,3.311962118202e-06,1
3.30660,0.130661,3.132266093414e-06,1
3.32664,0.132665,3.164496864897e-06,1
3.34668,0.134669,3.336794017870e-06,1
3.36672,0.136673,3.261071290542e-06,1
3.38676,0.138677,3.109194779331e-06,1
3.40680,0.140681,3.224962901918e-06,1
3.42684,0.142685,3.347916690201e-06,1
3.44688,0.144689,3.201375376675e-06,1
3.46692,0.146693,3.117095816776e-06,1
3.48696,0.148697,3.286269060842e-06,1
3.50700,0.150701,3.327870883436e-06,1
3.52704,0.152705,3.148896546042e-06,1
3.54708,0.154709,3.154337264802e-06,1
3.56712,0.156713,3.332836851862e-06,1
3.58716,0.158717,3.282331496034e-06,1
3.60720,0.160721,3.117786071822e-06,1
3.62724,0.162725,3.211640754441e-06,1
3.64728,0.164729,3.352958815963e-06,1
3.66732,0.166733,3.223658430491e-06,1
3.68736,0.168737,3.116645264060e-06,1
3.70740,0.170741,3.274525900893e-06,1
3.72744,0.172745,3.341881630198e-06,1
3.74748,0.174749,3.167698160746e-06,1
3.76752,0.176754,3.146314680832e-06,1
3.78756,0.178758,3.327135498068e-06,1
3.80760,0.180762,3.303098687264e-06,1
3.82764,0.182766,3.129705084487e-06,1
3.84768,0.184770,3.199726255766e-06,1
3.86772,0.186774,3.356462189074e-06,1
3.88776,0.188778,3.247537409098e-06,1
3.90780,0.190782,3.120474328506e-06,1
3.92784,0.192786,3.263887104393e-06,1
3.94788,0.194790,3.355907004003e-06,1
3.96792,0.196794,3.190892754182e-06,1
3.98796,0.198798,3.143740595645e-06,1
4.00800,0.200802,3.323527105186e-06,1
4.02804,0.202806,3.327296919277e-06,1
4.04808,0.204810,3.149867057802e-06,1
4.06812,0.206814,3.195593706713e-06,1
4.08816,0.208818,3.365536903041e-06,1
4.10820,0.210822,3.280922665045e-06,1
4.12824,0.212826,3.138396012827e-06,1
4.14828,0.214830,3.266171127401e-06,1
4.16832,0.216834,3.383155267179e-06,1
4.18836,0.218838,3.233716088624e-06,1
4.20840,0.220842,3.164987206544e-06,1
4.22844,0.222846,3.343337769953e-06,1
4.24848,0.224850,3.378976403981e-06,1
4.26852,0.226854,3.206219559513e-06,1
4.28856,0.228858,3.232054756240e-06,1
4.30860,0.230862,3.417591909895e-06,1
4.32864,0.232866,3.366202888250e-06,1
4.34868,0.234870,3.219360628326e-06,1
4.36872,0.236874,3.337654839363e-06,1
4.38876,0.238878,3.487154835073e-06,1
4.40880,0.240882,3.368062422605e-06,1
4.42884,0.242886,3.292124305210e-06,1
4.44888,0.244890,3.479420709593e-06,1
4.46892,0.246894,3.562165967932e-06,1
4.48896,0.248898,3.415788046123e-06,1
4.50900,0.250902,3.440970762262e-06,1
4.52904,0.252906,3.659897678105e-06,1
4.54908,0.254910,3.667100152229e-06,1
