Potential_V,Current_uA,Cycle
-0.200000,-2.246677,1
-0.197996,-1.489648,1
-0.195992,-1.602809,1
-0.193988,0.495154,1
-0.191984,-0.535558,1
-0.189980,0.214970,1
-0.187976,1.648490,1
-0.185972,1.678679,1
-0.183968,0.913574,1
-0.181964,-0.937930,1
-0.179960,-1.545857,1
-0.177956,-1.665219,1
-0.175952,-0.722900,1
-0.173948,-0.137550,1
-0.171944,-1.978936,1
-0.169940,-2.302963,1
-0.167936,0.577823,1
-0.165932,-3.736556,1
-0.163928,-0.386893,1
-0.161924,0.819267,1
-0.159920,-2.002695,1
-0.157916,-2.257491,1
-0.155912,-1.552434,1
-0.153908,1.265268,1
-0.151904,-0.290043,1
-0.149900,-3.769174,1
-0.147896,-0.876277,1
-0.145892,1.998615,1
-0.143888,1.938653,1
-0.141884,1.231707,1
-0.139880,-0.504094,1
-0.137876,-3.717455,1
-0.135872,0.311981,1
-0.133868,-0.378729,1
-0.131864,0.127227,1
-0.129860,3.058636,1
-0.127856,0.341796,1
-0.125852,0.527497,1
-0.123848,1.185425,1
-0.121844,-0.537507,1
-0.119840,-1.352681,1
-0.117836,-1.498313,1
-0.115832,1.510767,1
-0.113828,0.986340,1
-0.111824,-1.001458,1
-0.109820,2.283427,1
-0.107816,0.347100,1
-0.105812,-2.701599,1
-0.103808,1.190996,1
-0.101804,-0.299332,1
-0.099800,-2.677564,1
-0.097796,1.011411,1
-0.095792,-0.708791,1
-0.093788,-0.803443,1
-0.091784,1.161435,1
-0.089780,-4.402949,1
-0.087776,-2.572156,1
-0.085772,-0.866195,1
-0.083768,0.481574,1
-0.081764,-1.346567,1
-0.079760,-2.009386,1
-0.077756,-2.120397,1
-0.075752,-0.249737,1
-0.073747,1.335290,1
-0.071743,-2.914353,1
-0.069739,-4.174706,1
-0.067735,-0.608299,1
-0.065731,-0.777183,1
-0.063727,-1.830706,1
-0.061723,1.211141,1
-0.059719,1.597319,1
-0.057715,-1.139878,1
-0.055711,-0.700045,1
-0.053707,1.129317,1
-0.051703,-0.868766,1
-0.049699,-2.816229,1
-0.047695,-0.144676,1
-0.045691,-1.817603,1
-0.043687,0.641823,1
-0.041683,-1.018684,1
-0.039679,-0.386240,1
-0.037675,1.031292,1
-0.035671,-0.256772,1
-0.033667,-1.274766,1
-0.031663,-2.019246,1
-0.029659,3.436208,1
-0.027655,2.207686,1
-0.025651,-3.012436,1
-0.023647,-2.109600,1
-0.021643,1.163696,1
-0.019639,-1.180657,1
-0.017635,0.026800,1
-0.015631,1.624897,1
-0.013627,0.254853,1
-0.011623,-0.260757,1
-0.009619,-0.949121,1
-0.007615,-0.174367,1
-0.005611,0.772247,1
-0.003607,3.468813,1
-0.001603,2.129687,1
0.000401,-0.398812,1
0.002405,1.833613,1
0.004409,0.235169,1
0.006413,-2.961480,1
0.008417,-0.211615,1
0.010421,1.991463,1
0.012425,-1.190235,1
0.014429,1.874874,1
0.016433,-0.610071,1
0.018437,0.056677,1
0.020441,-2.378199,1
0.022445,4.144860,1
0.024449,0.911780,1
0.026453,2.022169,1
0.028457,-0.899705,1
0.030461,-2.920691,1
0.032465,2.429741,1
0.034469,-1.416799,1
0.036473,3.311442,1
0.038477,-0.334459,1
0.040481,3.257216,1
0.042485,-1.449489,1
0.044489,-3.519001,1
0.046493,1.405572,1
0.048497,-0.126291,1
0.050501,0.004784,1
0.052505,2.108061,1
0.054509,-1.753236,1
0.056513,-2.577763,1
0.058517,-2.324945,1
0.060521,-3.351968,1
0.062525,-3.604438,1
0.064529,-2.557225,1
0.066533,-1.934301,1
0.068537,-0.903703,1
0.070541,-2.414084,1
0.072545,-0.284215,1
0.074549,1.478100,1
0.076553,-0.487369,1
0.078557,0.775899,1
0.080561,-1.897525,1
0.082565,0.491996,1
0.084569,0.826548,1
0.086573,-1.417542,1
0.088577,-3.211003,1
0.090581,-0.546127,1
0.092585,-0.214611,1
0.094589,2.625457,1
0.096593,-1.062895,1
0.098597,2.995211,1
0.100601,-5.057640,1
0.102605,-0.909093,1
0.104609,-1.287936,1
0.106613,-1.082625,1
0.108617,-1.386340,1
0.110621,-0.435936,1
0.112625,2.908868,1
0.114629,-0.648466,1
0.116633,2.008981,1
0.118637,-0.538553,1
0.120641,-0.134718,1
0.122645,-5.049103,1
0.124649,-0.176678,1
0.126653,0.850056,1
0.128657,-2.596050,1
0.130661,-1.553863,1
0.132665,-2.034159,1
0.134669,3.842658,1
0.136673,-2.282877,1
0.138677,-1.768151,1
0.140681,-5.702080,1
0.142685,-3.458904,1
0.144689,0.067792,1
0.146693,-2.862666,1
0.148697,-5.787985,1
0.150701,-0.909719,1
0.152705,-0.131044,1
0.154709,0.198065,1
0.156713,0.403662,1
0.158717,-1.516933,1
0.160721,5.218169,1
0.162725,-1.399257,1
0.164729,0.579447,1
0.166733,-2.789650,1
0.168737,-1.498932,1
0.170741,-3.274567,1
0.172745,0.175648,1
0.174749,-1.023436,1
0.176754,-2.199449,1
0.178758,-4.159655,1
0.180762,0.899989,1
0.182766,1.446180,1
0.184770,1.501624,1
0.186774,-0.297521,1
0.188778,1.268702,1
0.190782,1.726875,1
0.192786,0.963812,1
0.194790,2.818292,1
0.196794,-0.298553,1
0.198798,0.462109,1
0.200802,-2.909379,1
0.202806,4.261446,1
0.204810,-1.310498,1
0.206814,0.855730,1
0.208818,1.502607,1
0.210822,-1.305403,1
0.212826,0.260274,1
0.214830,1.751249,1
0.216834,0.251992,1
0.218838,-0.115172,1
0.220842,-0.094898,1
0.222846,-0.821650,1
0.224850,0.296586,1
0.226854,1.407911,1
0.228858,1.636932,1
0.230862,2.954094,1
0.232866,0.951106,1
0.234870,-0.107372,1
0.236874,2.629650,1
0.238878,1.715805,1
0.240882,3.065897,1
0.242886,1.517147,1
0.244890,2.263967,1
0.246894,2.046916,1
0.248898,2.778407,1
0.250902,-0.530411,1
0.252906,1.252608,1
0.254910,1.878478,1
0.256914,4.978470,1
0.258918,1.506265,1
0.260922,2.618662,1
0.262926,1.420500,1
0.264930,-2.247506,1
0.266934,4.358526,1
0.268938,3.295876,1
0.270942,4.483853,1
0.272946,-0.615942,1
0.274950,2.692129,1
0.276954,2.536294,1
0.278958,-0.853628,1
0.280962,3.220885,1
0.282966,1.149766,1
0.284970,3.374248,1
0.286974,-0.833620,1
0.288978,0.754394,1
0.290982,1.140019,1
0.292986,-0.430845,1
0.294990,2.735280,1
0.296994,5.253632,1
0.298998,2.659833,1
0.301002,3.977098,1
0.303006,5.672313,1
0.305010,3.883982,1
0.307014,2.073992,1
0.309018,-0.963966,1
0.311022,3.546440,1
0.313026,2.216015,1
0.315030,1.971185,1
0.317034,4.323435,1
0.319038,3.973319,1
0.321042,-0.214931,1
0.323046,3.368400,1
0.325050,2.241561,1
0.327054,4.566115,1
0.329058,2.820129,1
0.331062,4.680182,1
0.333066,1.515486,1
