Ewe_V,I_uA
-0.200000,0.568806
-0.197996,1.298362
-0.195992,1.224599
-0.193988,0.270834
-0.191984,0.388121
-0.189980,0.262444
-0.187976,0.866356
-0.185972,0.522672
-0.183968,0.964795
-0.181964,-0.461520
-0.179960,1.416612
-0.177956,0.502473
-0.175952,0.930220
-0.173948,0.481402
-0.171944,0.348510
-0.169940,0.812226
-0.167936,1.011498
-0.165932,0.447126
-0.163928,0.474986
-0.161924,0.936653
-0.159920,0.081333
-0.157916,-0.272390
-0.155912,0.778262
-0.153908,0.192712
-0.151904,-0.494163
-0.149900,0.114796
-0.147896,0.305847
-0.145892,-0.092734
-0.143888,-0.256827
-0.141884,0.584680
-0.139880,1.058517
-0.137876,0.437308
-0.135872,0.157054
-0.133868,0.778280
-0.131864,0.961514
-0.129860,0.402529
-0.127856,0.867603
-0.125852,1.142119
-0.123848,0.455212
-0.121844,0.122106
-0.119840,0.761248
-0.117836,0.706691
-0.115832,1.175389
-0.113828,-0.134976
-0.111824,0.208157
-0.109820,0.111553
-0.107816,-0.380662
-0.105812,0.643086
-0.103808,0.864340
-0.101804,0.168215
-0.099800,1.337156
-0.097796,1.027609
-0.095792,0.921109
-0.093788,0.797492
-0.091784,1.102672
-0.089780,-0.155034
-0.087776,0.915717
-0.085772,0.910084
-0.083768,-0.393187
-0.081764,0.770426
-0.079760,0.442328
-0.077756,1.010399
-0.075752,0.339578
-0.073747,0.571531
-0.071743,0.770632
-0.069739,0.100621
-0.067735,0.912294
-0.065731,0.525837
-0.063727,0.854934
-0.061723,0.297559
-0.059719,1.182481
-0.057715,0.918432
-0.055711,0.488158
-0.053707,0.934150
-0.051703,1.279939
-0.049699,1.572722
-0.047695,-0.277391
-0.045691,1.074300
-0.043687,0.844866
-0.041683,0.537956
-0.039679,0.036414
-0.037675,1.282035
-0.035671,-0.102874
-0.033667,0.903403
-0.031663,1.308112
-0.029659,-0.287233
-0.027655,0.426701
-0.025651,-0.126482
-0.023647,0.728318
-0.021643,1.427496
-0.019639,1.708046
-0.017635,-0.382372
-0.015631,0.279870
-0.013627,0.983543
-0.011623,1.465749
-0.009619,0.829261
-0.007615,0.187713
-0.005611,0.762020
-0.003607,0.589958
-0.001603,0.487542
0.000401,0.196141
0.002405,0.813594
0.004409,0.770436
0.006413,0.550462
0.008417,0.480176
0.010421,-0.104099
0.012425,0.335710
0.014429,1.267155
0.016433,0.499301
0.018437,-0.187224
0.020441,1.339054
0.022445,0.897257
0.024449,1.765560
0.026453,0.640995
0.028457,0.353353
0.030461,-0.188589
0.032465,1.336227
0.034469,2.021849
0.036473,0.157604
0.038477,0.253721
0.040481,0.938024
0.042485,0.153931
0.044489,0.462315
0.046493,0.419213
0.048497,0.717702
0.050501,1.214775
0.052505,0.625263
0.054509,1.119028
0.056513,0.383189
0.058517,0.794918
0.060521,-0.560894
0.062525,-0.181840
0.064529,1.053885
0.066533,0.292051
0.068537,0.936087
0.070541,0.915925
0.072545,1.345390
0.074549,1.065160
0.076553,1.178484
0.078557,0.558220
0.080561,0.236083
0.082565,0.218284
0.084569,0.352718
0.086573,0.000237
0.088577,0.321050
0.090581,0.571732
0.092585,0.761533
0.094589,0.437257
0.096593,-0.433877
0.098597,0.584894
0.100601,0.749091
0.102605,1.222113
0.104609,0.943977
0.106613,0.272695
0.108617,0.229077
0.110621,1.733484
0.112625,1.044307
0.114629,1.635949
0.116633,1.800353
0.118637,0.179714
0.120641,0.842059
0.122645,0.882654
0.124649,0.938950
0.126653,0.929710
0.128657,0.743296
0.130661,0.728438
0.132665,-0.193207
0.134669,0.542699
0.136673,0.222981
0.138677,0.704022
0.140681,0.378026
0.142685,0.975865
0.144689,1.086673
0.146693,0.806466
0.148697,0.811082
0.150701,0.688815
0.152705,0.391912
0.154709,0.548233
0.156713,0.366613
0.158717,0.853123
0.160721,0.648006
0.162725,0.960472
0.164729,-0.089474
0.166733,1.130088
0.168737,0.222860
0.170741,0.239028
0.172745,0.534839
0.174749,0.334133
0.176754,0.804689
0.178758,0.329372
0.180762,0.057563
0.182766,0.181222
0.184770,1.368672
0.186774,0.672129
0.188778,0.006394
0.190782,0.653945
0.192786,-0.205569
0.194790,1.635404
0.196794,-0.186290
0.198798,0.916625
0.200802,0.953570
0.202806,-0.141513
0.204810,0.822737
0.206814,1.207833
0.208818,0.918605
0.210822,0.807336
0.212826,1.188458
0.214830,0.758025
0.216834,0.858094
0.218838,0.607435
0.220842,1.029306
0.222846,0.169453
0.224850,1.128912
0.226854,0.422704
0.228858,0.109028
0.230862,0.919289
0.232866,1.660467
0.234870,1.270828
0.236874,0.472704
0.238878,1.156740
0.240882,0.541851
0.242886,0.744977
0.244890,0.886945
0.246894,-0.408889
0.248898,1.002604
0.250902,0.366759
0.252906,0.589969
0.254910,0.208298
0.256914,0.236511
0.258918,0.609555
0.260922,1.647126
0.262926,2.181710
0.264930,1.332230
0.266934,2.036414
0.268938,1.390512
0.270942,0.594667
0.272946,1.850919
0.274950,2.148358
0.276954,1.815820
0.278958,2.380578
0.280962,2.707535
0.282966,2.112509
0.284970,1.987367
0.286974,2.908673
0.288978,3.164505
0.290982,3.357313
0.292986,4.386357
0.294990,5.106843
0.296994,4.266157
0.298998,5.241165
0.301002,5.760368
0.303006,6.046383
0.305010,6.667256
0.307014,6.340110
0.309018,7.450437
0.311022,8.672728
0.313026,8.543279
0.315030,8.328339
0.317034,9.597105
0.319038,10.575667
0.321042,10.726848
0.323046,10.879560
0.325050,12.725330
0.327054,11.896627
0.329058,13.586654
0.331062,14.043079
0.333066,14.151898
0.335070,16.247367
0.337074,16.545455
0.339078,16.496191
0.341082,18.256051
0.343086,18.475070
0.345090,18.450119
0.347094,19.895353
0.349098,21.186638
0.351102,22.144954
0.353106,22.622518
0.355110,23.271235
0.357114,24.194919
0.359118,24.481848
0.361122,25.874510
0.363126,25.902592
0.365130,26.537154
0.367134,27.185417
0.369138,26.773854
0.371142,27.384622
0.373146,28.984395
0.375150,28.644431
0.377154,28.566340
0.379158,29.115194
0.381162,28.810653
0.383166,29.318578
0.385170,28.830057
0.387174,29.319927
0.389178,28.213298
0.391182,29.667591
0.393186,28.450544
0.395190,27.603864
0.397194,28.036690
0.399198,27.589306
0.401202,27.460232
0.403206,26.281589
0.405210,26.619899
0.407214,27.841803
0.409218,24.554028
0.411222,24.815746
0.413226,23.799549
0.415230,23.388145
0.417234,21.572465
0.419238,21.201341
0.421242,21.335043
0.423246,20.295024
0.425251,20.439188
0.427255,18.369114
0.429259,18.066424
0.431263,18.786446
0.433267,15.980215
0.435271,15.127491
0.437275,14.837713
0.439279,14.076703
0.441283,13.823847
0.443287,12.705536
0.445291,11.511131
0.447295,11.356796
0.449299,12.026558
0.451303,10.632563
0.453307,7.784677
0.455311,8.643432
0.457315,7.672462
0.459319,7.954233
0.461323,7.001197
0.463327,7.670347
0.465331,6.656714
0.467335,6.197500
0.469339,5.399349
0.471343,4.888756
0.473347,4.736837
0.475351,4.924903
0.477355,4.192345
0.479359,3.413568
0.481363,4.037680
0.483367,3.192228
0.485371,2.813582
0.487375,2.209239
0.489379,2.138945
0.491383,1.922670
0.493387,0.574462
0.495391,2.521804
0.497395,2.139929
0.499399,1.588949
0.501403,2.172207
0.503407,1.738733
0.505411,1.613085
0.507415,-0.032360
0.509419,1.129026
0.511423,1.485978
0.513427,2.021674
0.515431,2.097926
0.517435,1.825142
0.519439,0.362407
0.521443,-0.242384
0.523447,1.249343
0.525451,0.923793
0.527455,1.414400
0.529459,0.795156
0.531463,0.967327
0.533467,0.005908
0.535471,1.063844
0.537475,0.561133
0.539479,0.988336
0.541483,1.039965
0.543487,0.715519
0.545491,0.948026
0.547495,0.761050
0.549499,1.181671
0.551503,1.036366
0.553507,0.456356
0.555511,0.431434
0.557515,1.711754
0.559519,0.695133
0.561523,1.295159
0.563527,0.964971
0.565531,0.437539
0.567535,0.335268
0.569539,0.812854
0.571543,0.887678
0.573547,1.084278
0.575551,0.049534
0.577555,0.419330
0.579559,0.694365
0.581563,1.627152
0.583567,-0.551107
0.585571,0.988799
0.587575,0.450595
0.589579,0.985241
0.591583,0.477783
0.593587,0.949284
0.595591,1.609758
0.597595,0.944455
0.599599,0.988469
0.601603,0.955632
0.603607,0.338357
0.605611,1.050164
0.607615,0.637394
0.609619,0.306026
0.611623,0.731755
0.613627,0.628438
0.615631,1.168353
0.617635,0.730872
0.619639,0.463736
0.621643,1.556210
0.623647,1.299537
0.625651,1.454773
0.627655,1.091138
0.629659,0.697086
0.631663,0.527419
0.633667,0.604783
0.635671,1.280150
0.637675,0.820968
0.639679,-0.055642
0.641683,0.738926
0.643687,-0.017935
0.645691,0.852650
0.647695,0.099824
0.649699,0.067260
0.651703,0.828145
0.653707,0.720409
0.655711,-0.150041
0.657715,1.175952
0.659719,1.954633
0.661723,-0.049326
0.663727,1.766849
0.665731,0.388149
0.667735,0.495184
0.669739,0.669047
0.671743,-0.026967
0.673747,1.482957
0.675752,1.039919
0.677756,0.356139
0.679760,0.617547
0.681764,-0.063557
0.683768,0.579675
0.685772,1.286360
0.687776,-0.171465
0.689780,0.532513
0.691784,0.853681
0.693788,1.349979
0.695792,1.516080
0.697796,0.522960
0.699800,0.367781
0.701804,1.023171
0.703808,0.576162
0.705812,0.605942
0.707816,1.371055
0.709820,1.706811
0.711824,0.924183
0.713828,0.672739
0.715832,1.093152
0.717836,-0.258675
0.719840,0.769923
0.721844,0.197144
0.723848,2.095147
0.725852,1.177573
0.727856,0.859717
0.729860,0.675564
0.731864,-0.600260
0.733868,1.175509
0.735872,1.680121
0.737876,0.383618
0.739880,1.160842
0.741884,1.182870
0.743888,-0.065498
0.745892,1.301130
0.747896,1.532104
0.749900,0.913139
0.751904,0.753226
0.753908,1.221857
0.755912,-0.058437
0.757916,0.840783
0.759920,1.369868
0.761924,0.107142
0.763928,1.336896
0.765932,0.561457
0.767936,-0.352471
0.769940,0.734324
0.771944,0.258443
0.773948,0.969080
0.775952,0.149310
0.777956,1.372141
0.779960,0.388633
0.781964,0.991488
0.783968,0.469303
0.785972,0.618895
0.787976,1.452462
0.789980,0.915898
0.791984,0.580728
0.793988,0.110168
0.795992,1.436971
0.797996,1.202545
0.800000,0.620405
0.800000,-2.777517
0.797996,-3.733285
0.795992,-3.723338
0.793988,-3.582947
0.791984,-2.699338
0.789980,-2.743627
0.787976,-3.525590
0.785972,-2.414384
0.783968,-2.380297
0.781964,-2.840239
0.779960,-2.192231
0.777956,-3.187646
0.775952,-3.057992
0.773948,-2.619685
0.771944,-3.000964
0.769940,-2.381109
0.767936,-3.917136
0.765932,-1.909414
0.763928,-3.565793
0.761924,-3.104465
0.759920,-4.015201
0.757916,-2.532980
0.755912,-2.028860
0.753908,-2.182066
0.751904,-2.361422
0.749900,-4.155413
0.747896,-3.575283
0.745892,-3.336682
0.743888,-3.691912
0.741884,-2.149943
0.739880,-2.854703
0.737876,-3.012527
0.735872,-2.629619
0.733868,-3.710087
0.731864,-3.678738
0.729860,-3.659674
0.727856,-2.626464
0.725852,-2.744584
0.723848,-2.568314
0.721844,-2.194199
0.719840,-4.022064
0.717836,-3.425561
0.715832,-2.895639
0.713828,-4.018952
0.711824,-3.407628
0.709820,-2.249078
0.707816,-2.183718
0.705812,-2.204273
0.703808,-2.980643
0.701804,-3.172984
0.699800,-2.205467
0.697796,-3.295697
0.695792,-2.763635
0.693788,-2.024458
0.691784,-3.295197
0.689780,-3.478535
0.687776,-3.028752
0.685772,-2.574041
0.683768,-2.662121
0.681764,-2.908137
0.679760,-2.608817
0.677756,-4.226934
0.675752,-3.672786
0.673747,-2.907019
0.671743,-3.727037
0.669739,-4.037899
0.667735,-3.938610
0.665731,-3.722471
0.663727,-3.168806
0.661723,-3.803021
0.659719,-2.860980
0.657715,-1.766088
0.655711,-3.150078
0.653707,-2.084437
0.651703,-2.825239
0.649699,-3.882533
0.647695,-3.236075
0.645691,-3.781246
0.643687,-2.470020
0.641683,-3.911896
0.639679,-2.056247
0.637675,-2.615638
0.635671,-4.567113
0.633667,-2.463227
0.631663,-1.887823
0.629659,-3.646580
0.627655,-2.315850
0.625651,-4.404678
0.623647,-2.867877
0.621643,-4.304138
0.619639,-2.697405
0.617635,-4.401273
0.615631,-5.036055
0.613627,-2.765435
0.611623,-1.347690
0.609619,-3.511462
0.607615,-2.443187
0.605611,-2.983881
0.603607,-3.310645
0.601603,-2.607580
0.599599,-1.838416
0.597595,-3.997669
0.595591,-2.649502
0.593587,-2.814675
0.591583,-4.142889
0.589579,-1.864698
0.587575,-1.614815
0.585571,-3.792515
0.583567,-1.775613
0.581563,-3.038031
0.579559,-3.203679
0.577555,-1.954758
0.575551,-2.912872
0.573547,-2.842167
0.571543,-1.947395
0.569539,-2.120589
0.567535,-2.417994
0.565531,-4.139370
0.563527,-4.269353
0.561523,-2.246556
0.559519,-3.787304
0.557515,-2.982004
0.555511,-3.900023
0.553507,-3.233336
0.551503,-4.055695
0.549499,-1.875145
0.547495,-3.863062
0.545491,-3.191476
0.543487,-3.242232
0.541483,-2.197611
0.539479,-4.168210
0.537475,-3.129395
0.535471,-3.262417
0.533467,-2.709149
0.531463,-2.753683
0.529459,-3.456607
0.527455,-2.930210
0.525451,-3.391975
0.523447,-2.761018
0.521443,-3.190142
0.519439,-3.605985
0.517435,-3.136079
0.515431,-2.843675
0.513427,-1.418203
0.511423,-3.487141
0.509419,-2.889826
0.507415,-2.023644
0.505411,-4.680651
0.503407,-4.430405
0.501403,-4.015723
0.499399,-3.211008
0.497395,-1.296450
0.495391,-2.834010
0.493387,-2.222581
0.491383,-3.296269
0.489379,-4.978635
0.487375,-4.867173
0.485371,-2.369082
0.483367,-2.995504
0.481363,-4.109125
0.479359,-2.298362
0.477355,-4.291671
0.475351,-2.287876
0.473347,-2.051154
0.471343,-3.714379
0.469339,-3.972952
0.467335,-2.509721
0.465331,-3.965535
0.463327,-2.498755
0.461323,-4.042702
0.459319,-2.541691
0.457315,-3.078077
0.455311,-3.474163
0.453307,-3.822445
0.451303,-2.973602
0.449299,-4.572381
0.447295,-3.360961
0.445291,-3.452206
0.443287,-2.647422
0.441283,-4.097660
0.439279,-1.873318
0.437275,-3.393185
0.435271,-4.014227
0.433267,-2.122144
0.431263,-1.915607
0.429259,-3.304737
0.427255,-3.833315
0.425251,-3.154072
0.423246,-3.685023
0.421242,-3.402342
0.419238,-2.000597
0.417234,-2.876595
0.415230,-3.062578
0.413226,-2.913216
0.411222,-3.217395
0.409218,-2.543754
0.407214,-2.516564
0.405210,-3.454422
0.403206,-3.099420
0.401202,-1.369133
0.399198,-2.864242
0.397194,-3.320933
0.395190,-1.645376
0.393186,-3.176673
0.391182,-4.007826
0.389178,-2.680016
0.387174,-3.861924
0.385170,-3.561073
0.383166,-2.944514
0.381162,-3.285436
0.379158,-3.764078
0.377154,-3.605783
0.375150,-3.638699
0.373146,-2.320130
0.371142,-3.736622
0.369138,-3.626138
0.367134,-1.669310
0.365130,-3.614502
0.363126,-2.083217
0.361122,-2.214584
0.359118,-3.317049
0.357114,-4.268131
0.355110,-2.864929
0.353106,-2.701285
0.351102,-2.481040
0.349098,-3.154075
0.347094,-2.305680
0.345090,-2.167431
0.343086,-4.002089
0.341082,-2.140289
0.339078,-3.082600
0.337074,-3.638917
0.335070,-3.454682
0.333066,-1.808635
0.331062,-2.479893
0.329058,-4.560803
