Instrument: Synthetic Potentiostat 3000
Technique: Linear sweep voltammetry
Reference electrode: SCE
Scan rate: 10 mV/s
Electrode area: 0.196 cm^2
time_s	Potential_V	Current_A
0.00000	-0.100000	4.439255844855e-11
0.18490	-0.098151	4.625458966167e-11
0.36980	-0.096302	4.819472313410e-11
0.55470	-0.094453	5.021623483607e-11
0.73960	-0.092604	5.232253814701e-11
0.92450	-0.090755	5.451718961906e-11
1.10940	-0.088906	5.680389498237e-11
1.29430	-0.087057	5.918651540231e-11
1.47920	-0.085208	6.166907399912e-11
1.66410	-0.083359	6.425576264095e-11
1.84900	-0.081510	6.695094902197e-11
2.03390	-0.079661	6.975918403723e-11
2.21880	-0.077812	7.268520946693e-11
2.40370	-0.075963	7.573396598297e-11
2.58860	-0.074114	7.891060149135e-11
2.77350	-0.072265	8.222047982443e-11
2.95840	-0.070416	8.566918979786e-11
3.14330	-0.068567	8.926255464732e-11
3.32820	-0.066718	9.300664186111e-11
3.51310	-0.064869	9.690777342515e-11
3.69800	-0.063020	1.009725364977e-10
3.88290	-0.061171	1.052077945318e-10
4.06780	-0.059322	1.096206988643e-10
4.25270	-0.057473	1.142187007908e-10
4.43760	-0.055624	1.190095641472e-10
4.62250	-0.053775	1.240013784191e-10
4.80740	-0.051926	1.292025724008e-10
4.99230	-0.050077	1.346219284271e-10
5.17720	-0.048228	1.402685972027e-10
5.36210	-0.046379	1.461521132525e-10
5.54700	-0.044530	1.522824110213e-10
5.73190	-0.042681	1.586698416476e-10
5.91680	-0.040832	1.653251904411e-10
6.10169	-0.038983	1.722596950945e-10
6.28659	-0.037134	1.794850646573e-10
6.47149	-0.035285	1.870134993068e-10
6.65639	-0.033436	1.948577109478e-10
6.84129	-0.031587	2.030309446764e-10
7.02619	-0.029738	2.115470011442e-10
7.21109	-0.027889	2.204202598601e-10
7.39599	-0.026040	2.296657034701e-10
7.58089	-0.024191	2.392989430547e-10
7.76579	-0.022342	2.493362444880e-10
7.95069	-0.020493	2.597945559022e-10
8.13559	-0.018644	2.706915363035e-10
8.32049	-0.016795	2.820455853890e-10
8.50539	-0.014946	2.938758746139e-10
8.69029	-0.013097	3.062023795612e-10
8.87519	-0.011248	3.190459136701e-10
9.06009	-0.009399	3.324281633781e-10
9.24499	-0.007550	3.463717247373e-10
9.42989	-0.005701	3.609001415668e-10
9.61479	-0.003852	3.760379452048e-10
9.79969	-0.002003	3.918106959284e-10
9.98459	-0.000154	4.082450261099e-10
10.16949	0.001695	4.253686851842e-10
10.35439	0.003544	4.432105865009e-10
